n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
3.0,0.000101632,0.002478865,0.002422699,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.9116e-5,0.002609519,0.008055603,14000.0,197248.0,155264.0,0.0,0.0,0.0
3.0,9.5336e-5,0.002855913,0.004656288,13984.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000103611,0.002621265,0.007461691,14000.0,197248.0,155264.0,0.0,0.0,2.0
3.0,0.000114981,0.003269866,0.005823377,14320.0,197248.0,155264.0,0.0,0.0,2.0
3.0,0.000104368,0.002890221,0.002557305,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.00010226,0.002508332,0.003028239,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000104223,0.002387953,0.002294153,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000102789,0.002587022,0.004983972,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000110208,0.002585321,0.008185859,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.00010651,0.00290822,0.005904994,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.00010346,0.002574261,0.00267562,14160.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000113923,0.002670822,0.004458865,14000.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000107349,0.069571677,0.004896953,14160.0,1.289732e6,155264.0,0.0,0.0,0.0
3.0,0.000207888,0.002859279,0.002533036,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000127158,0.002830365,0.007434969,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000335545,0.002903441,0.004295173,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.0001763,0.002592293,0.002280139,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.4716e-5,0.002681381,0.00448848,11232.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000192564,0.002586996,0.00233023,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,8.5956e-5,0.002790152,0.004175886,10752.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000193872,0.00250542,0.002569729,14320.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000126389,0.002738904,0.005451582,14320.0,197296.0,155264.0,0.0,2.0,2.0
3.0,0.000223591,0.002700264,0.003082843,14320.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000140953,0.002587888,0.00510563,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000206855,0.002559879,0.00235857,14000.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000113627,0.002694826,0.006735308,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000268239,0.002712174,0.002337064,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000118626,0.00285456,0.008264601,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000310117,0.003585722,0.005167959,14304.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000231632,0.003278204,0.002752287,14320.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000142671,0.003462557,0.005306372,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000209595,0.003282693,0.00580853,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000220565,0.003365749,0.005003626,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000184619,0.003313668,0.003395653,14320.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000159699,0.003264085,0.00270727,13520.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000134528,0.003305796,0.008066934,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000245033,0.002677975,0.002024326,14160.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.6037e-5,0.002507177,0.001999924,14000.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.8185e-5,0.002456444,0.001980459,14160.0,197248.0,156368.0,0.0,0.0,0.0
3.0,0.000101609,0.002507919,0.003224771,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000108526,0.002591486,0.003546741,14320.0,197248.0,155264.0,0.0,0.0,0.0
3.0,9.1067e-5,0.002428036,0.001843424,14480.0,197248.0,156368.0,0.0,0.0,0.0
3.0,9.2151e-5,0.002432296,0.003808424,13840.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000101904,0.002552348,0.004549036,14480.0,197248.0,155264.0,0.0,0.0,0.0
3.0,0.000104391,0.002566136,0.002111218,13520.0,197248.0,156368.0,0.0,0.0,0.0
10.0,0.00024648,0.009272308,0.015116247,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000276241,0.009029969,0.019030833,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000246329,0.009409637,0.021360535,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000240948,0.008810976,0.019777358,37824.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.000237497,0.008415356,0.017085689,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000253493,0.010764376,0.016841343,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000235191,0.010356536,0.015083511,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000245706,0.010715273,0.022890598,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000235429,0.010559401,0.019485004,36960.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.00023804,0.008890763,0.040208514,36960.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000251496,0.008858706,0.01760257,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000236047,0.010559869,0.017741314,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000237567,0.009705522,0.023731379,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000233101,0.008627231,0.00763437,37536.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000230381,0.00928845,0.0521464,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000239843,0.012568185,0.020745444,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000232508,0.009495334,0.015296257,35808.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000242449,0.009274001,0.020307687,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000235204,0.009848407,0.015599882,37248.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.00023456,0.008318631,0.015423717,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000242357,0.008645879,0.01459056,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000251693,0.009148461,0.026652772,37536.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.000237404,0.009921136,0.015536627,36384.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000231065,0.009424605,0.016484249,34368.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000257184,0.010311431,0.016408472,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000247846,0.009928299,0.015948636,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000255476,0.00900928,0.017676356,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000254593,0.008717857,0.016927862,36384.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000270287,0.009335287,0.016528757,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000249717,0.009449638,0.015677514,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000251213,0.009077395,0.029420203,37536.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.000260304,0.008111979,0.057863139,36960.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000236233,0.009023489,0.020216073,37824.0,750720.0,589552.0,0.0,0.0,2.0
